num_client;numero_commande;date;montant_des_produits;remise_sur_produits;montant_livraison;remise_sur_livraison;montant_total_paye;date_modifiee;date_sas
ID_100338;278637;11-janv-21;16;;6.8;;22.8;11-jan-21;11JAN2021
ID_100414;308262;05-juin-21;38;;3.99;;41.99;05-jun-21;05JUN2021
ID_100415;305098;18-mai-21;149;;6.8;;155.8;18-may-21;18MAY2021
ID_100497;284325;29-janv-21;25;;3.49;;28.49;29-jan-21;29JAN2021
ID_100580;387981;11-juil-22;35;;25.98;;60.98;11-jul-22;11JUL2022
ID_101053;407347;06-déc-22;21;;5.5;;26.5;06-dec-22;06DEC2022
ID_101520;301641;22-avr-21;26.5;;6.8;;33.3;22-apr-21;22APR2021
ID_101800;320635;05-déc-21;12;;4.7;;16.7;05-dec-21;05DEC2021
ID_102018;303524;07-mai-21;37.5;;8;;45.5;07-may-21;07MAY2021
ID_102459;341366;20-nov-21;205;;4.49;;209.49;20-nov-21;20NOV2021
ID_102464;332402;14-oct-21;33;;8;;41;14-oct-21;14OCT2021
ID_102538;299497;11-avr-21;440;;45.49;;485.49;11-apr-21;11APR2021
ID_102544;379407;03-juin-22;67.5;;7.2;-7.2;67.5;03-jun-22;03JUN2022
ID_102605;351581;13-janv-22;13;;3.99;;16.99;13-jan-22;13JAN2022
ID_102619;387808;10-juil-22;25;;10;;35;10-jul-22;10JUL2022
ID_102667;277423;08-janv-21;19;;4.7;;23.7;08-jan-21;08JAN2021
ID_102776;284330;29-janv-21;12.5;;3.49;;15.99;29-jan-21;29JAN2021
ID_102825;299541;11-avr-21;270;-25;29.99;;274.99;11-apr-21;11APR2021
ID_102891;305688;22-mai-21;;;;;;22-may-21;22MAY2021
ID_102907;315373;11-juil-21;42.8;-4.28;11.2;;49.72;11-jul-21;11JUL2021
ID_103086;339360;14-nov-21;135;-20;12.99;-3.39;124.6;14-nov-21;14NOV2021
ID_103230;283889;27-janv-21;44;-8.8;4.49;;39.69;27-jan-21;27JAN2021
ID_103298;355458;23-janv-22;29;;4.49;;33.49;23-jan-22;23JAN2022
ID_103393;331957;10-oct-21;43;;6.8;;49.8;10-oct-21;10OCT2021
ID_103421;296450;28-mars-21;10.5;;6.8;;17.3;28-mar-21;28MAR2021
ID_103446;299390;11-avr-21;8.45;;3.49;;11.94;11-apr-21;11APR2021
ID_103641;342425;24-nov-21;29.5;;6.8;;36.3;24-nov-21;24NOV2021
ID_103666;281958;21-janv-21;6.95;;3.99;;10.94;21-jan-21;21JAN2021
ID_103843;371218;07-avr-22;48;;12.25;;60.25;07-apr-22;07APR2022
ID_103884;300408;13-avr-21;13.2;;3.49;;16.69;13-apr-21;13APR2021
ID_103930;292590;05-mars-21;125;;29.99;;154.99;05-mar-21;05MAR2021
ID_103965;287082;10-févr-21;40;;6.8;;46.8;10-feb-21;10FEB2021
ID_104100;390557;25-juil-22;35;;12.25;;47.25;25-jul-22;25JUL2022
ID_104163;298381;05-avr-21;59.5;;4.99;-4.99;59.5;05-apr-21;05APR2021
ID_104308;332048;11-oct-21;9.5;;4.7;;14.2;11-oct-21;11OCT2021
ID_104321;344350;30-nov-21;55;;3.99;;58.99;30-nov-21;30NOV2021
ID_104339;286947;09-févr-21;305;;9.6;;314.6;09-feb-21;09FEB2021
ID_104435;329296;26-sept-21;9.5;;4.49;;13.99;26-sep-21;26SEP2021
ID_104465;369609;02-avr-22;75;;22.5;;97.5;02-apr-22;02APR2022
ID_104487;396940;27-sept-22;9;;4.2;;13.2;27-sep-22;27SEP2022
