num_client;recence;frequence;montant;seg_recence;seg_frequence;seg_montant;seg_RF;seg_RFM;date_premiere_commande;min_montant;mean_montant;max_montant;sum_montant;NB_commande_V_avec_remise;sum_montant_remise;sum_montant_livraison
ID_100338;22;2;227.29;R1;F2;M2;RF1;RFM2;11JAN2021;22.8;113.645;204.49;227.29;0;;36.79
ID_100414;4;3;230.98;R3;F2;M2;RF3;RFM8;05JUN2021;38.99;76.993333333;150;230.98;0;;30.38
ID_100415;20;1;155.8;R1;F1;M2;RF1;RFM2;18MAY2021;155.8;155.8;155.8;155.8;0;;6.8
ID_100497;14;2;249.49;R1;F2;M2;RF1;RFM2;29JAN2021;28.49;124.745;221;249.49;0;;25.49
ID_100580;1;4;184.77;R3;F3;M2;RF3;RFM8;11JUL2022;12.2;46.1925;87.99;184.77;0;-20;40.77
ID_101053;1;1;26.5;R3;F1;M1;RF2;RFM4;06DEC2022;26.5;26.5;26.5;26.5;0;;5.5
ID_101520;21;2;54.1;R1;F2;M1;RF1;RFM1;22APR2021;20.8;27.05;33.3;54.1;0;;13.6
ID_101800;13;1;16.7;R2;F1;M1;RF2;RFM4;05DEC2021;16.7;16.7;16.7;16.7;0;;4.7
ID_102018;4;2;81.5;R3;F2;M2;RF3;RFM8;07MAY2021;36;40.75;45.5;81.5;0;;14.5
ID_102459;7;2;285.69;R3;F2;M2;RF3;RFM8;20NOV2021;76.2;142.845;209.49;285.69;0;;11.69
ID_102464;1;4;297.99;R3;F3;M3;RF3;RFM9;14OCT2021;41;74.4975;104.49;297.99;0;;45.99
ID_102538;21;1;485.49;R1;F1;M3;RF1;RFM3;11APR2021;485.49;485.49;485.49;485.49;0;;45.49
ID_102544;6;2;182.5;R3;F2;M2;RF3;RFM8;03JUN2022;67.5;91.25;115;182.5;0;;17.2
ID_102605;12;1;16.99;R2;F1;M1;RF2;RFM4;13JAN2022;16.99;16.99;16.99;16.99;0;;3.99
ID_102619;6;1;35;R3;F1;M1;RF2;RFM4;10JUL2022;35;35;35;35;0;;10
ID_102667;3;4;245.9;R3;F3;M2;RF3;RFM8;08JAN2021;23.7;61.475;89.6;245.9;0;;37.9
ID_102776;3;5;394.88;R3;F3;M3;RF3;RFM9;29JAN2021;15.99;78.976;162.99;394.88;0;;33.88
ID_102825;18;2;522.53;R1;F2;M3;RF1;RFM3;11APR2021;247.54;261.265;274.99;522.53;0;-47.45;75.48
ID_102891;13;4;276.39;R2;F3;M2;RF3;RFM8;27JUN2021;35.8;69.0975;88.49;276.39;0;;39.89
ID_102907;11;2;120.21;R2;F2;M2;RF2;RFM5;11JUL2021;49.72;60.105;70.49;120.21;0;-4.28;21.69
ID_103086;4;4;425.6;R3;F3;M3;RF3;RFM9;14NOV2021;98;106.4;124.6;425.6;0;-70;49.99
ID_103230;14;2;108.03;R1;F2;M2;RF1;RFM2;27JAN2021;39.69;54.015;68.34;108.03;0;-8.8;8.98
ID_103298;8;2;131.98;R2;F2;M2;RF2;RFM5;23JAN2022;33.49;65.99;98.49;131.98;0;;12.98
ID_103393;15;1;49.8;R1;F1;M1;RF1;RFM1;10OCT2021;49.8;49.8;49.8;49.8;0;;6.8
ID_103421;22;1;17.3;R1;F1;M1;RF1;RFM1;28MAR2021;17.3;17.3;17.3;17.3;0;;6.8
ID_103446;20;2;138.93;R1;F2;M2;RF1;RFM2;11APR2021;11.94;69.465;126.99;138.93;0;-15;16.48
ID_103641;14;1;36.3;R1;F1;M1;RF1;RFM1;24NOV2021;36.3;36.3;36.3;36.3;0;;6.8
ID_103666;24;1;10.94;R1;F1;M1;RF1;RFM1;21JAN2021;10.94;10.94;10.94;10.94;0;;3.99
