num_client;numero_commande;date;montant_des_produits;remise_sur_produits;montant_livraison;remise_sur_livraison;montant_total_paye;date_modifiee;date_sas
ID_100338;278637;11-janv-21;16;;6.8;;22.8;11-jan-21;11JAN2021
ID_100338;292562;05-mars-21;174.5;;29.99;;204.49;05-mar-21;05MAR2021
ID_100414;308262;05-juin-21;38;;3.99;;41.99;05-jun-21;05JUN2021
ID_100414;386335;07-juil-22;150;;17.4;-17.4;150;07-jul-22;07JUL2022
ID_100414;395020;14-sept-22;30;;8.99;;38.99;14-sep-22;14SEP2022
ID_100415;305098;18-mai-21;149;;6.8;;155.8;18-may-21;18MAY2021
ID_100497;284325;29-janv-21;25;;3.49;;28.49;29-jan-21;29JAN2021
ID_100497;343715;27-nov-21;199;;22;;221;27-nov-21;27NOV2021
ID_100580;387981;11-juil-22;35;;25.98;;60.98;11-jul-22;11JUL2022
ID_100580;391326;05-déc-22;8;;4.2;;12.2;05-dec-22;05DEC2022
ID_100580;403267;14-nov-22;102;-20;5.99;;87.99;14-nov-22;14NOV2022
ID_100580;406646;04-déc-22;19;;4.6;;23.6;04-dec-22;04DEC2022
ID_101053;407347;06-déc-22;21;;5.5;;26.5;06-dec-22;06DEC2022
ID_101520;301641;22-avr-21;26.5;;6.8;;33.3;22-apr-21;22APR2021
ID_101520;301645;22-avr-21;14;;6.8;;20.8;22-apr-21;22APR2021
ID_101800;320635;05-déc-21;12;;4.7;;16.7;05-dec-21;05DEC2021
ID_102018;303524;07-mai-21;37.5;;8;;45.5;07-may-21;07MAY2021
ID_102018;397091;29-sept-22;29.5;;6.5;;36;29-sep-22;29SEP2022
ID_102459;341366;20-nov-21;205;;4.49;;209.49;20-nov-21;20NOV2021
ID_102459;380965;12-juin-22;69;;7.2;;76.2;12-jun-22;12JUN2022
ID_102464;332402;14-oct-21;33;;8;;41;14-oct-21;14OCT2021
ID_102464;342077;23-nov-21;85;;19.49;;104.49;23-nov-21;23NOV2021
ID_102464;378058;24-mai-22;74;;10;;84;24-may-22;24MAY2022
ID_102464;407931;11-déc-22;60;;8.5;;68.5;11-dec-22;11DEC2022
ID_102538;299497;11-avr-21;440;;45.49;;485.49;11-apr-21;11APR2021
ID_102544;379407;03-juin-22;67.5;;7.2;-7.2;67.5;03-jun-22;03JUN2022
ID_102544;390560;25-juil-22;105;;10;;115;25-jul-22;25JUL2022
ID_102605;351581;13-janv-22;13;;3.99;;16.99;13-jan-22;13JAN2022
ID_102619;387808;10-juil-22;25;;10;;35;10-jul-22;10JUL2022
ID_102667;277423;08-janv-21;19;;4.7;;23.7;08-jan-21;08JAN2021
ID_102667;307637;02-juin-21;80;;9.6;;89.6;02-jun-21;02JUN2021
ID_102667;325060;05-sept-21;62;;13.6;;75.6;05-sep-21;05SEP2021
ID_102667;400341;25-oct-22;47;;10;;57;25-oct-22;25OCT2022
ID_102776;284330;29-janv-21;12.5;;3.49;;15.99;29-jan-21;29JAN2021
ID_102776;332082;11-oct-21;150;;12.99;;162.99;11-oct-21;11OCT2021
ID_102776;332675;15-oct-21;139;;8;;147;15-oct-21;15OCT2021
ID_102776;377515;17-mai-22;17;;4.2;;21.2;17-may-22;17MAY2022
ID_102776;397418;03-oct-22;42.5;;5.2;;47.7;03-oct-22;03OCT2022
ID_102825;299541;11-avr-21;270;-25;29.99;;274.99;11-apr-21;11APR2021
ID_102825;317305;19-juil-21;224.5;-22.45;45.49;;247.54;19-jul-21;19JUL2021
ID_102891;312013;27-juin-21;72.5;;6.8;;79.3;27-jun-21;27JUN2021
ID_102891;312960;30-juin-21;69;;19.49;;88.49;30-jun-21;30JUN2021
ID_102891;315384;11-juil-21;29;;6.8;;35.8;11-jul-21;11JUL2021
ID_102891;324181;28-déc-21;66;;6.8;;72.8;28-dec-21;28DEC2021
ID_102907;315373;11-juil-21;42.8;-4.28;11.2;;49.72;11-jul-21;11JUL2021
ID_102907;359499;03-févr-22;60;;10.49;;70.49;03-feb-22;03FEB2022
ID_103086;339360;14-nov-21;135;-20;12.99;-3.39;124.6;14-nov-21;14NOV2021
ID_103086;379070;31-mai-22;103;-15;15;;103;31-may-22;31MAY2022
ID_103086;385904;04-juil-22;103;-15;10;;98;04-jul-22;04JUL2022
ID_103086;394253;06-sept-22;108;-20;12;;100;06-sep-22;06SEP2022
ID_103230;283889;27-janv-21;44;-8.8;4.49;;39.69;27-jan-21;27JAN2021
ID_103230;344295;30-nov-21;63.85;;4.49;;68.34;30-nov-21;30NOV2021
ID_103298;355458;23-janv-22;29;;4.49;;33.49;23-jan-22;23JAN2022
ID_103298;376394;09-mai-22;90;;8.49;;98.49;09-may-22;09MAY2022
ID_103393;331957;10-oct-21;43;;6.8;;49.8;10-oct-21;10OCT2021
ID_103421;296450;28-mars-21;10.5;;6.8;;17.3;28-mar-21;28MAR2021
ID_103446;299390;11-avr-21;8.45;;3.49;;11.94;11-apr-21;11APR2021
ID_103446;304769;16-mai-21;129;-15;12.99;;126.99;16-may-21;16MAY2021
ID_103641;342425;24-nov-21;29.5;;6.8;;36.3;24-nov-21;24NOV2021
ID_103666;281958;21-janv-21;6.95;;3.99;;10.94;21-jan-21;21JAN2021
ID_103843;371218;07-avr-22;48;;12.25;;60.25;07-apr-22;07APR2022
